time,e2sp_co,e2sp_co_2,e2sp_co_3,e2sp_co_4,e2sp_co_ae,e2sp_co_we,e2sp_no2,e2sp_no2_2,e2sp_no2_3,e2sp_no2_ae,e2sp_no2_we,e2sp_ox,e2sp_ox_2,e2sp_ox_3,e2sp_ox_4,e2sp_ox_ae,e2sp_ox_we,e2sp_so2,e2sp_so2_2,e2sp_so2_3,e2sp_so2_ae,e2sp_so2_we,e2sp_temp,e2sp_umid,iag_ambienttemp,iag_co,iag_internalrh,iag_internaltemp,iag_no,iag_no2,iag_nox,iag_o3,iag_so2,pin_umid,pin_temp
2023-06-02 02:55:00,34.2893905876096,2.69565688879917,16.5731373568868,,0.2886900007724762,0.4281604886054992,3.63479506584905,,,0.2267923057079315,0.2379190921783447,11.682229428858356,3.2347752604582833,11.662508308440133,5.646764963070648,0.2348418235778808,0.238453984260559,1.33647133728553,10.6912691762294,6.768341877451342,0.3293640911579132,0.3519402146339416,16.2,89.6,,,,,,,,,,84.0,15.925
2023-06-02 03:00:00,29.57051646657831,3.0285578566590856,15.945908719280066,,0.28852616463388714,0.41673500623021803,3.6921191386424437,,,0.22681017007146562,0.23738096015793933,11.497373372221633,4.2550699112940995,11.4800384591126,5.694036913893518,0.23489402021680555,0.23835732255663183,2.846738238874897,10.498391771350025,6.573738421516853,0.3294414963041033,0.3514607080391475,16.15714285714286,89.64285714285714,,,,,,,,,,84.0,15.9
2023-06-02 03:05:00,24.85164234554702,3.3614588245190014,15.31868008167333,,0.28836232849529814,0.40530952385493685,3.7494432114358367,,,0.22682803443499971,0.236842828137534,11.31251731558491,5.275364562129917,11.297568609785067,5.741308864716387,0.23494621685573028,0.23826066085270464,4.357005140464264,10.30551436647065,6.379134965582364,0.3295189014502934,0.35098120144435335,16.114285714285714,89.68571428571428,,,,,,,,,,84.0,15.891666666666667
2023-06-02 03:10:00,20.132768224515733,3.6943597923789167,14.691451444066596,,0.2881984923567091,0.39388404147965567,3.80676728422923,,,0.22684589879853384,0.23630469611712862,11.127661258948189,6.295659212965733,11.115098760457533,5.788580815539256,0.23499841349465503,0.23816399914877748,5.8672720420536315,10.112636961591276,6.184531509647876,0.3295963065964835,0.35050169484955923,16.07142857142857,89.72857142857143,,,,,,,,,,84.0,15.883333333333333
2023-06-02 03:15:00,15.413894103484441,4.027260760238832,14.06422280645986,,0.28803465621812,0.38245855910437443,3.8640913570226236,,,0.22686376316206794,0.23576656409672328,10.942805202311467,7.31595386380155,10.93262891113,5.835852766362126,0.23505061013357978,0.2380673374448503,7.377538943642999,9.919759556711902,5.9899280537133865,0.3296737117426736,0.35002218825476505,16.02857142857143,89.77142857142857,,,,,,,,,,84.0,15.875
2023-06-02 03:20:00,10.695019982453154,4.360161728098748,13.436994168853126,,0.28787082007953096,0.37103307672909325,3.9214154298160167,,,0.22688162752560206,0.2352284320763179,10.757949145674743,8.336248514637365,10.750159061802467,5.8831247171849945,0.23510280677250453,0.23797067574092315,8.887805845232366,9.726882151832529,5.795324597778897,0.3297511168888637,0.34954268165997093,15.985714285714286,89.81428571428572,,,,,,,,,,84.0,15.866666666666667
2023-06-02 03:25:00,5.9761458614218625,4.693062695958664,12.80976553124639,,0.28770698394094196,0.35960759435381207,3.97873950260941,,,0.22689949188913616,0.23469030005591257,10.573093089038021,9.356543165473182,10.567689212474933,5.930396668007864,0.23515500341142925,0.23787401403699596,10.398072746821734,9.534004746953153,5.600721141844409,0.3298285220350538,0.3490631750651768,15.942857142857143,89.85714285714286,,,,,,,,,,84.0,15.858333333333334
2023-06-02 03:30:00,1.25727174039057,5.02596366381858,,,0.2875431478023529,0.3481821119785309,,,,0.2269173562526703,0.2341521680355072,10.3882370324013,10.376837816309,10.3852193631474,5.977668618830734,0.235207200050354,0.2377773523330688,11.9083396484111,9.34112734207378,5.40611768590992,0.3299059271812439,0.3485836684703827,15.9,89.9,,,,,,,,,,84.0,15.850000000000001
2023-06-02 03:35:00,5.704724722985684,3.7014562620444096,11.55530825603292,,0.28693073987960815,0.3431764245033264,,,,0.2268335521221161,0.2342551201581955,9.689774606429289,9.678258374208244,9.686586864044164,6.0249405696536025,0.23513747006654734,0.2380914837121963,12.466464182426101,9.74278172648009,5.64762611498777,0.3291078507900238,0.34892530739307404,15.8,89.9,,,,,,,,,,84.0,15.841666666666667
2023-06-02 03:40:00,10.1521777055808,2.37694886027024,10.928079618426185,,0.2863183319568634,0.3381707370281219,,,,0.2267497479915619,0.2343580722808838,8.99131218045728,8.97967893210749,8.98795436494093,6.072212520476472,0.2350677400827407,0.2384056150913238,13.0245887164411,10.1444361108864,5.88913454406562,0.3283097743988037,0.3492669463157654,15.7,89.9,,,,,,,,,,84.0,15.833333333333334
